thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,พอใจ,face7_w.png,f,j,1.716930599999614,No,Pilot04_EEG,002,
,,ชูศักดิ์,face1_m.png,m,k,0.5675059999921359,No,Pilot04_EEG,002,
,,ทับทิม,face3_m.png,f,k,0.5336315000313334,No,Pilot04_EEG,002,
,,สมปอง,face7_w.png,m,j,1.1001975999679416,No,Pilot04_EEG,002,
,,ดวงแก้ว,face10_w.png,f,j,0.5669793999986723,No,Pilot04_EEG,002,
,,ทับทิม,face9_m.png,f,k,0.6003500000224449,No,Pilot04_EEG,002,
,,สมชาย,face8_w.png,m,j,0.7169594999868423,No,Pilot04_EEG,002,
,,ประทีป,face8_m.png,m,k,0.6169034000486135,No,Pilot04_EEG,002,
,,สมหมาย,face4_m.png,m,k,0.6836924999952316,No,Pilot04_EEG,002,
,,พิกุล,face5_w.png,f,j,0.7669959000195377,No,Pilot04_EEG,002,
,,พอใจ,face3_w.png,f,j,0.5499230000423267,No,Pilot04_EEG,002,
,,สมหมาย,face1_w.png,m,j,0.5504828999983147,No,Pilot04_EEG,002,
,,บุญชู,face4_w.png,m,j,0.6836702000000514,No,Pilot04_EEG,002,
,,สมหญิง,face8_w.png,f,j,0.5672248000046238,No,Pilot04_EEG,002,
,,สมหมาย,face6_w.png,m,j,1.316957100003492,No,Pilot04_EEG,002,
,,สมหญิง,face1_w.png,f,j,1.2675770000205375,No,Pilot04_EEG,002,
,,สมชาย,face4_m.png,m,k,0.7507381999748759,No,Pilot04_EEG,002,
,,วันเพ็ญ,face4_w.png,f,j,1.1005116000305861,No,Pilot04_EEG,002,
,,ฟ้าใส,face10_w.png,f,j,1.117075299960561,No,Pilot04_EEG,002,
,,วันเพ็ญ,face4_m.png,f,k,0.7668845999869518,No,Pilot04_EEG,002,
,,สมหมาย,face5_m.png,m,k,0.5837042999919504,No,Pilot04_EEG,002,
,,สมหมาย,face6_m.png,m,k,0.6004501000279561,No,Pilot04_EEG,002,
,,สายใจ,face6_m.png,f,k,0.5172465000068769,No,Pilot04_EEG,002,
,,บุญชู,face9_m.png,m,k,0.9670542999519967,No,Pilot04_EEG,002,
,,พอใจ,face2_w.png,f,j,2.1671620000270195,No,Pilot04_EEG,002,
,,แก้วตา,face10_m.png,f,k,0.6505053000291809,No,Pilot04_EEG,002,
,,ทองดี,face1_w.png,m,j,0.7672545000095852,No,Pilot04_EEG,002,
,,สมชาย,face7_w.png,m,j,0.6671189999906346,No,Pilot04_EEG,002,
,,สมหมาย,face7_w.png,m,j,0.6168005000217818,No,Pilot04_EEG,002,
,,ฟ้าใส,face8_w.png,f,j,0.6172749999677762,No,Pilot04_EEG,002,
,,ประเสริฐ,face4_m.png,m,k,0.6339517000014894,No,Pilot04_EEG,002,
,,ฟ้าใส,face5_m.png,f,k,0.6502414999995381,No,Pilot04_EEG,002,
,,ใบเฟิร์น,face2_w.png,f,j,0.7169275999767706,No,Pilot04_EEG,002,
,,บุญชู,face6_w.png,m,j,0.7508319999906234,No,Pilot04_EEG,002,
,,สมหญิง,face2_w.png,f,j,0.9004581999615766,No,Pilot04_EEG,002,
,,สมหมาย,face4_w.png,m,j,0.7175717999925837,No,Pilot04_EEG,002,
,,ใบเฟิร์น,face7_w.png,f,j,0.6835206000250764,No,Pilot04_EEG,002,
,,พอใจ,face5_w.png,f,j,0.5842608999810182,No,Pilot04_EEG,002,
,,ดวงแก้ว,face6_m.png,f,k,0.7335601000231691,No,Pilot04_EEG,002,
,,มานะ,face9_m.png,m,k,0.8671336999977939,No,Pilot04_EEG,002,
,,ฟ้าใส,face7_m.png,f,j,0.6844070999650285,No,Pilot04_EEG,002,
,,วันเพ็ญ,face9_w.png,f,j,0.8837460000067949,No,Pilot04_EEG,002,
,,ดวงแก้ว,face10_m.png,f,k,0.5169276000233367,No,Pilot04_EEG,002,
,,พอใจ,face3_m.png,f,k,0.6504499000147916,No,Pilot04_EEG,002,
,,สมชาย,face3_w.png,m,j,1.0168238999904133,No,Pilot04_EEG,002,
,,สายใจ,face9_w.png,f,j,0.6837406999547966,No,Pilot04_EEG,002,
,,วันเพ็ญ,face7_m.png,f,k,0.5175351000507362,No,Pilot04_EEG,002,
,,สมปอง,face1_m.png,m,k,0.6005670000449754,No,Pilot04_EEG,002,
,,ประทีป,face5_w.png,m,j,0.6336027000215836,No,Pilot04_EEG,002,
,,พอใจ,face4_w.png,f,j,0.6173006999888457,No,Pilot04_EEG,002,
,,ประทีป,face7_m.png,m,k,0.7671330999583006,No,Pilot04_EEG,002,
,,วันเพ็ญ,face9_m.png,f,k,0.6671562000410631,No,Pilot04_EEG,002,
,,พิกุล,face8_m.png,f,k,1.233636899967678,No,Pilot04_EEG,002,
,,ใบเฟิร์น,face6_w.png,f,j,0.8169481999939308,No,Pilot04_EEG,002,
,,ใบเฟิร์น,face7_m.png,f,k,0.9000813000020571,No,Pilot04_EEG,002,
,,พิกุล,face10_w.png,f,j,0.966862500004936,No,Pilot04_EEG,002,
,,ชูศักดิ์,face6_w.png,m,j,1.7836521999561228,No,Pilot04_EEG,002,
,,สมชาย,face8_m.png,m,k,0.6669775000191294,No,Pilot04_EEG,002,
,,พอใจ,face7_m.png,f,k,0.70012220001081,No,Pilot04_EEG,002,
,,มั่นคง,face8_m.png,m,None,None,Yes,Pilot04_EEG,002,
,,พิกุล,face1_m.png,f,k,None,Yes,Pilot04_EEG,002,
,,สมหมาย,face9_w.png,m,j,2.983747099991888,No,Pilot04_EEG,002,
