Face,Name,NameGender
face9_w.png,ประทีป,m
face2_w.png,ประทีป,m
face5_m.png,ดวงแก้ว,f
face5_w.png,ชูศักดิ์,m
face8_w.png,พอใจ,f
face8_w.png,สมหมาย,m
face8_m.png,วันเพ็ญ,f
face6_m.png,สมหญิง,f
face5_w.png,พิกุล,f
face7_m.png,สมหญิง,f
face8_w.png,พิกุล,f
face2_m.png,ประทีป,m
face1_m.png,ทับทิม,f
face5_w.png,ทับทิม,f
face3_w.png,ประทีป,m
face9_m.png,แก้วตา,f
face10_w.png,ทองดี,m
face10_w.png,ดวงแก้ว,f
face3_m.png,สมหญิง,f
face5_m.png,ประเสริฐ,m
face2_w.png,พิกุล,f
face10_m.png,มานะ,m
face2_w.png,ดวงแก้ว,f
face4_m.png,ใบเฟิร์น,f
face10_m.png,มั่นคง,m
face9_w.png,วันเพ็ญ,f
face4_w.png,บุญชู,m
face6_m.png,ชูศักดิ์,m
face9_m.png,ทับทิม,f
face2_w.png,มั่นคง,m
face2_w.png,วันเพ็ญ,f
face4_m.png,แก้วตา,f
face1_m.png,บุญชู,m
face1_m.png,มั่นคง,m
face7_w.png,บุญชู,m
face8_m.png,ดวงแก้ว,f
face2_m.png,มั่นคง,m
face5_w.png,ทองดี,m
face9_m.png,สมปอง,m
face5_w.png,ดวงแก้ว,f
face10_w.png,สมหญิง,f
face4_w.png,ฟ้าใส,f
face9_w.png,สมหญิง,f
face4_w.png,ชูศักดิ์,m
face2_m.png,พิกุล,f
face1_w.png,วันเพ็ญ,f
face7_w.png,ทับทิม,f
face3_m.png,ทองดี,m
face8_w.png,สมชาย,m
face1_m.png,ทองดี,m
face2_m.png,ดวงแก้ว,f
face4_m.png,สมหญิง,f
face8_m.png,ใบเฟิร์น,f
face10_w.png,ทับทิม,f
face3_w.png,สมปอง,m
face1_m.png,สมหญิง,f
face10_m.png,ทองดี,m
face7_w.png,ดวงแก้ว,f
face4_m.png,มั่นคง,m
face3_w.png,พอใจ,f
face8_w.png,สายใจ,f
face9_w.png,ใบเฟิร์น,f
face9_w.png,บุญชู,m
face6_m.png,วันเพ็ญ,f
face10_m.png,แก้วตา,f
face5_m.png,ทับทิม,f
face5_w.png,วันเพ็ญ,f
face4_w.png,มั่นคง,m
face4_m.png,ทับทิม,f
face10_m.png,ดวงแก้ว,f
face3_w.png,มานะ,m
face10_w.png,ใบเฟิร์น,f
face7_m.png,มั่นคง,m
face10_m.png,พิกุล,f
face10_m.png,สมหมาย,m
face9_m.png,ชูศักดิ์,m
face5_m.png,สมหมาย,m
face6_w.png,ทองดี,m
face4_m.png,สมปอง,m
face7_m.png,พอใจ,f
face10_m.png,ประเสริฐ,m
